,Format Type,Data Description,Reader,Writer
0,text,CSV,read_csv,to_csv
1,text,JSON,read_json,to_json
2,text,HTML,read_html,to_html
3,text,Local clipboard,read_clipboard,to_clipboard
4,binary,MS Excel,read_excel,to_excel
5,binary,OpenDocument,read_excel, 
6,binary,HDF5 Format,read_hdf,to_hdf
7,binary,Feather Format,read_feather,to_feather
8,binary,Parquet Format,read_parquet,to_parquet
9,binary,Msgpack,read_msgpack,to_msgpack
10,binary,Stata,read_stata,to_stata
11,binary,SAS,read_sas, 
12,binary,Python Pickle Format,read_pickle,to_pickle
13,SQL,SQL,read_sql,to_sql
14,SQL,Google Big Query,read_gbq,to_gbq
