No,Name,Score,Category
0512001,大学英语读写译1,76,一般
0512002,大学英语听说1,85,良好
0711001,高等数学A1,89,良好
10034025,体质健康标准1,63,及格
1011001,体育1,79,一般
1301003,思想道德修养与法律基础,86,良好
1302001,职业生涯规划,93,优秀
2001001,计算机科学导论,96,优秀
2001051,程序设计基础,99,优秀
2001052,程序设计基础实验,100,优秀
2101002,军训,89,良好
012011181,大学语文,85,良好
032006003,航空航天概论,81,良好
0512003,大学英语读写译2,60,及格
0512004,大学英语听说2,83,良好
0711002,高等数学A2,73,一般
0711008,线性代数A,65,及格
1011002,体育2,75,一般
1301001,形势与政策1,82,良好
1301004,马克思主义基本原理,80,良好
2001004,数字逻辑B,97,优秀
2001029,程序设计基础课程设计,93,优秀
2101001,军事理论,87,良好
012011061,欧洲留学与旅游概述,88,良好
032006029,组网工程,85,良好
0711009,概率论与数理统计,67,及格
0811010,大学物理D,60,及格
10034026,体质健康标准2,60,及格
1011003,体育3,80,良好
1301005,毛泽东思想和中国特色社会主义理论体系概论,71,一般
2001003,离散数学A,93,优秀
2001005,面向对象程序设计A,100,优秀
2001007,计算机组成与结构A,86,良好
2001038,面向对象程序设计A实验,92,优秀
012011132,哲学与科技,90,优秀
0312006,工程制图B,69,及格
032011070,Excel数据可视化分析,35,不及格
1011004,体育4,84,良好
1301006,中国近现代史纲要,87,良好
2001006,数据结构A,88,良好
2001008,数据库概论,93,优秀
2001009,操作系统A,97,优秀
2001010,软件工程导论,85,良好
2001030zl,面向对象课程设计,95,优秀
2001039,数据结构A实验,84,良好
012011211W,解码国家安全,95,优秀
10034027,体质健康标准3,64,及格
1301002,形势与政策2,84,良好
2001011,网络及其计算,67,及格
2001012,软件质量保证与测试,84,良好
2001014,WEB技术基础,90,优秀
2001024,嵌入式系统,83,良好
2001031,专业综合课程设计,86,良好
2001036,数字图像处理,88,良好
2001041,嵌入式系统实验,86,良好
0801092,无损检测概论,87,良好
0801093,测试技术基础,49,不及格
1302002,就业指导,76,一般
2001013,软件建模技术,80,良好
2001015,WEB高级编程,90,优秀
2001016,大型数据库系统,90,优秀
2001022,单片机原理与接口技术,90,优秀
2001025,专业英语,88,良好
